,answer,question
234,"Sanders voted against the Wall Street bailout; Clinton voted for it. Dec. 11, 2008: The Senate fails to advance a bill that would have provided $15 billion to the auto industry. Clinton and Sanders voted for it. Dec. 19, 2008: After Congress failed to agree on funds for the auto industry, President Bush announces that he will use the TARP funds to help bail out the auto industry.",who voted for tarp
235,"Warsaw was occupied by Germany from 4 August 1915 until November 1918. The Allied Armistice terms required in Article 12 that Germany withdraw from areas controlled by Russia in 1914, which included Warsaw. Germany did so, and underground leader Piłsudski returned to Warsaw on 11 November and set up what became the Second Polish Republic, with Warsaw the capital. In the course of the Polish-Bolshevik War of 1920, the huge Battle of Warsaw was fought on the eastern outskirts of the city in which the capital was successfully defended and the Red Army defeated. Poland stopped by itself the full brunt of the Red Army and defeated an idea of the ""export of the revolution"".",What did Article 12 of the Allied Armistice terms require Germany to withdraw from?
236,"For the next three hundred years, Scotland was directly governed by the Parliament of Great Britain and the subsequent Parliament of the United Kingdom, both seated at Westminster, and the lack of a Parliament of Scotland remained an important element in Scottish national identity. Suggestions for a 'devolved' Parliament were made before 1914, but were shelved due to the outbreak of the First World War. A sharp rise in nationalism in Scotland during the late 1960s fuelled demands for some form of home rule or complete independence, and in 1969 prompted the incumbent Labour government of Harold Wilson to set up the Kilbrandon Commission to consider the British constitution. One of the principal objectives of the commission was to examine ways of enabling more self-government for Scotland, within the unitary state of the United Kingdom. Kilbrandon published his report in 1973 recommending the establishment of a directly elected Scottish Assembly to legislate for the majority of domestic Scottish affairs.",Harold Wilson published a report in what year?
237,"Actuarial justice, a term first coined by Malcolm Feeley and Jonathan Simon, is a coherent discourse regarding the prediction of crime and/or individual risk assessments. It involves the calculations of behavioral probabilities as input for criminal justice policy and judicial decisionmaking.",criminal justice actuarial definition
238,"Capacity To Contract The legal ability to enter into a binding contract. Those who lack the capacity to contract include minors (with limited exceptions) and individuals who are so mentally impaired that they cannot understand the terms of the contract. If an individual who lacks the capacity to contract enters an agreement, that person may under most circumstances back out later.",what is contractual capacity mean
239,"Diamond contends that the accident occurred because the Triple 5 hooks have a latent design defect that allows the hooks to open, even while bearing the full load of the lifeboat, and Diamond seeks to provide expert testimony supporting this position. Dkt. 31.SI's experts are Mark Beatty, James Nelson, and Robert Markle. Dkt. 57. Beatty is SSI's financial expert, Nelson is an engineer who tested the Triple 5 hooks for this case, and Markle worked for the U.S. Coast Guard for numerous years and is offered to testify about safety, training, and regulatory issues.",how does the triple 5 hook for lifeboat work
240,"In many poor and developing countries much land and housing is held outside the formal or legal property ownership registration system. Much unregistered property is held in informal form through various associations and other arrangements. Reasons for extra-legal ownership include excessive bureaucratic red tape in buying property and building, In some countries it can take over 200 steps and up to 14 years to build on government land. Other causes of extra-legal property are failures to notarize transaction documents or having documents notarized but failing to have them recorded with the official agency.",How is registered property held in informal form?
241,"Following a referendum in 1997, in which the Scottish electorate voted for devolution, the current Parliament was convened by the Scotland Act 1998, which sets out its powers as a devolved legislature. The Act delineates the legislative competence of the Parliament – the areas in which it can make laws – by explicitly specifying powers that are ""reserved"" to the Parliament of the United Kingdom. The Scottish Parliament has the power to legislate in all areas that are not explicitly reserved to Westminster. The British Parliament retains the ability to amend the terms of reference of the Scottish Parliament, and can extend or reduce the areas in which it can make laws. The first meeting of the new Parliament took place on 12 May 1999.",To what body are certain powers explicitly specified as being reserved for?
242,"In the autumn of 1991, talks were held for the broadcast rights for Premier League for a five-year period, from the 1992 season. ITV were the current rights holders, and fought hard to retain the new rights. ITV had increased its offer from £18m to £34m per year to keep control of the rights. BSkyB joined forces with the BBC to make a counter bid. The BBC was given the highlights of most of the matches, while BSkyB paying £304m for the Premier League rights, would give them a monopoly of all live matches, up to 60 per year from the 1992 season.  Murdoch described sport as a ""battering ram"" for pay-television, providing a strong customer base. A few weeks after the deal, ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken. ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch's media empire via its newspapers had influenced the deal. A few days later neither action took effect, ITV believed BSkyB was telephoned and informed of its £262m bid, and Premier League advised BSkyB to increase its counter bid.",Who was given the highlights of most of the matches?
243,"Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals. Government funding for religious schools is either subject to restrictions or possibly forbidden, according to the courts' interpretation of the Establishment Clause of the First Amendment or individual state Blaine Amendments. Non-religious private schools theoretically could qualify for such funding without hassle, preferring the advantages of independent control of their student admissions and course content instead of the public funding they could get with charter status.",How is course content provided to a private school?
244,The juris doctor was adopted to replace the L.L.B. and give recognition to a law degree as a professional degree on a par with the degrees earned by medical school graduates. Most law schools today award graduates a juris doctor. A juris doctor is not a terminal degree. Holders of a J.D. can return to law school and pursue a graduate course of study leading to a master of laws or L.L.M. The terminal degree in the study of law is the doctor of judicial science or S.J.D.,what is a terminal degree in law?
245,"Seat belt legislation in Canada is left to the provinces. All provinces in Canada have primary enforcement seat belt laws, which allow a police officer to stop and ticket a driver if s/he observes a violation. Ontario was the first province to pass a law which required vehicle occupants to wear seat belts, a law that came into effect on January 1, 1976.",when did seat belts become law in ontario
246,"Reid–Hillview Airport of Santa Clara County (IATA: RHV, ICAO: KRHV, FAA LID: RHV) is in the eastern part of San Jose, in Santa Clara County, California. The airport is owned by Santa Clara County and is near the Evergreen district of San Jose where aviation pioneer John J. Montgomery experimented with gliders in 1911. Reid–Hillview Airport is also the official general aviation airport for the 2015 Super Bowl in Levis Stadium (nearby Santa Clara, CA).

The Superior Court is the state court in the U.S. state of New Jersey, with statewide trial and appellate jurisdiction. The New Jersey Constitution of 1947 establishes the power of the New Jersey courts. Under the State Constitution, ""'judicial power shall be vested in a Supreme Court, a Superior Court, County Courts and inferior courts of limited jurisdiction.'"" The Superior Court has three divisions: the Appellate Division is essentially an intermediate appellate court while the Law and Chancery Divisions function as trial courts. The State Constitution renders the New Jersey Superior Court, Appellate Division the intermediate appellate court, and ""[a]ppeals may be taken to the Appellate Division of the Superior Court from the law and chancery divisions of the Superior Court and in such other causes as may be provided by law."" Each division is in turn divided into various parts. ""The trial divisions of the Superior Court are the principal trial courts of New Jersey. They are located within the State's various judicial geographic units, called 'vicinages,' R. 1:33-2(a), and are organized into two basic divisions: the Chancery Division and the Law Division"".

The Superior Court of Santa Clara County is the California Superior Court for Santa Clara County, which includes the city of San Jose. The doctrine of Corporate personhood in US law is commonly traced to the 1886 decision of the United States Supreme Court in Santa Clara County v. Southern Pacific Railroad, which started in this court. In August 2016, hundreds of clerks in the Santa Clara court system went on strike for better wages. One striking clerk had been living in a homeless shelter since November 2015.",Which criminal case filed in Santa Clara County Superior Court did judge Aaron Persky rendered the verdict in
247,"physical law. (physics). A property of a physical phenomenon, or a relationship between the various quantities or qualities which may be used to describe the phenomenon, that applies to all members of a broad class of such phenomena, without exception.",laws in physics definition
248,"DeVitto and Wesley in 2012. DeVitto began dating her Killer Movie co-star Paul Wesley in 2007. They married in a private ceremony in New York City in April 2011. From early 2012 to early 2013, DeVitto had a recurring role on The CW fantasy drama The Vampire Diaries, which Wesley starred in. They filed for divorce in July 2013 after two years of marriage.",has paul wesley been married
249,"Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia. Liberated by Napoleon's army in 1806, Warsaw was made the capital of the newly created Duchy of Warsaw. Following the Congress of Vienna of 1815, Warsaw became the centre of the Congress Poland, a constitutional monarchy under a personal union with Imperial Russia. The Royal University of Warsaw was established in 1816.",When did Warsaw become the center of the Congress Poland?
250,"GenX was the replacement for perfluorooctanoic acid (PFOA), a long-chain perfluorinated chemical previously used in Teflon products. DuPont shelved PFOA in 2009, following a class-action lawsuit regarding health hazards associated with the chemical.",what is genx used for
251,"Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia. Liberated by Napoleon's army in 1806, Warsaw was made the capital of the newly created Duchy of Warsaw. Following the Congress of Vienna of 1815, Warsaw became the centre of the Congress Poland, a constitutional monarchy under a personal union with Imperial Russia. The Royal University of Warsaw was established in 1816.",When was the Royal University of Warsaw established?
252,"Along with giving the offender his ""just deserts"", achieving crime control via incapacitation and deterrence is a major goal of criminal punishment. Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law's engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."" Leonard Hubert Hoffmann writes, ""In deciding whether or not to impose punishment, the most important consideration would be whether it would do more harm than good. This means that the objector has no right not to be punished. It is a matter for the state (including the judges) to decide on utilitarian grounds whether to do so or not.""",What should the punishment rely on instead in a just society?
253,"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments.",Browlee also applies that civil disobedience is okay regarding?
254,"The credit amount on your tax bill is based on your school tax rate and the maximum credit value. [ss.79.10 (9) (bm), (11) Wis. Stats.] Property owners must notify the County Treasurer within 30 days if the property no longer is the primary residence of the owner.",what is the crawford county wi sales tax
255,"For example, say you are a married American citizen or a resident alien with an estate worth $7 million. You can completely avoid the federal estate tax by bequeathing $5.34 million to your children and bequeathing the remaining $1.66 million to your surviving spouse—as long as your spouse is a U.S. citizen.f you bequeath your entire $7 million estate to your non-citizen spouse, the federal estate tax bill is the same $664,000, because the first $5.34 million is sheltered by your federal estate tax exemption while the remaining $1.66 million is unsheltered and taxed at 40%. Ouch again!",tax on inheritance from a us non citizen to a us citizen
256,"The primary law of the EU consists mainly of the founding treaties, the ""core"" treaties being the Treaty on European Union (TEU) and the Treaty on the Functioning of the European Union (TFEU). The Treaties contain formal and substantive provisions, which frame policies of the European Union institutions and determine the division of competences between the European Union and its member states. The TEU establishes that European Union law applies to the metropolitan territories of the member states, as well as certain islands and overseas territories, including Madeira, the Canary Islands and the French overseas departments. European Union law also applies in territories where a member state is responsible for external relations, for example Gibraltar and the Åland islands. The TEU allows the European Council to make specific provisions for regions, as for example done for customs matters in Gibraltar and Saint-Pierre-et-Miquelon. The TEU specifically excludes certain regions, for example the Faroe Islands, from the jurisdiction of European Union law. Treaties apply as soon as they enter into force, unless stated otherwise, and are generally concluded for an unlimited period. The TEU provides that commitments entered into by the member states between themselves before the treaty was signed no longer apply.[vague] All EU member states are regarded as subject to the general obligation of the principle of cooperation, as stated in the TEU, whereby member states are obliged not to take measure which could jeopardise the attainment of the TEU objectives. The Court of Justice of the European Union can interpret the Treaties, but it cannot rule on their validity, which is subject to international law. Individuals may rely on primary law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional.",What are the core treaties that the primary law of the EU consists of?
257,"Some civil disobedients feel it is incumbent upon them to accept punishment because of their belief in the validity of the social contract, which is held to bind all to obey the laws that a government meeting certain standards of legitimacy has established, or else suffer the penalties set out in the law. Other civil disobedients who favor the existence of government still don't believe in the legitimacy of their particular government, or don't believe in the legitimacy of a particular law it has enacted. And still other civil disobedients, being anarchists, don't believe in the legitimacy of any government, and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others.",Why does government exist according to anarchists?
258,"European Union law is applied by the courts of member states and the Court of Justice of the European Union. Where the laws of member states provide for lesser rights European Union law can be enforced by the courts of member states. In case of European Union law which should have been transposed into the laws of member states, such as Directives, the European Commission can take proceedings against the member state under the Treaty on the Functioning of the European Union. The European Court of Justice is the highest court able to interpret European Union law. Supplementary sources of European Union law include case law by the Court of Justice, international law and general principles of European Union law.",What are some supplementary sources of European Union law?
259,"The second main legislative body is the Council, which is composed of different ministers of the member states. The heads of government of member states also convene a ""European Council"" (a distinct body) that the TEU article 15 defines as providing the 'necessary impetus for its development and shall define the general political directions and priorities'. It meets each six months and its President (currently former Poland Prime Minister Donald Tusk) is meant to 'drive forward its work', but it does not itself 'legislative functions'. The Council does this: in effect this is the governments of the member states, but there will be a different minister at each meeting, depending on the topic discussed (e.g. for environmental issues, the member states' environment ministers attend and vote; for foreign affairs, the foreign ministers, etc.). The minister must have the authority to represent and bin the member states in decisions. When voting takes place it is weighted inversely to member state size, so smaller member states are not dominated by larger member states. In total there are 352 votes, but for most acts there must be a qualified majority vote, if not consensus. TEU article 16(4) and TFEU article 238(3) define this to mean at least 55 per cent of the Council members (not votes) representing 65 per cent of the population of the EU: currently this means around 74 per cent, or 260 of the 352 votes. This is critical during the legislative process.",Who is currently the Vice President of Council?
260,"It's in that process — clearing your name after a theft — that the best identity theft protection has value. Only a few services will assume power of attorney to act on your behalf, saving you the many hours and major hassle of calling federal agencies, filing affidavits, and in rare cases, hiring lawyers.",what is lifelock identity theft protection
261,"Along with giving the offender his ""just deserts"", achieving crime control via incapacitation and deterrence is a major goal of criminal punishment. Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law's engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."" Leonard Hubert Hoffmann writes, ""In deciding whether or not to impose punishment, the most important consideration would be whether it would do more harm than good. This means that the objector has no right not to be punished. It is a matter for the state (including the judges) to decide on utilitarian grounds whether to do so or not.""",Who decides if a law is moral?
262,"In the eyes of the law, things change once your child is of legal age. Suddenly parents are left out of decisions and parts of their child's life even though they may still be supporting him. When your child turns 18, he doesn't magically assume the role of adult in your eyes.",when do children legally have a say
263,"Time zones in the USA are defined in the U.S. Code, Title 15, Chapter 6, Subchapter IX - Standard Time. The time zones in the law are defined by their offset from Coordinated Universal Time (UTC). There are 9 official time zones according to the law. In addition the uninhabited atolls of Baker Island (AoE) and Wake Island (WAKT) add to the time zone count, making 11 the total number of time zones in the US.",different time zones of united states
264,Teen must have a learner's license for at least 6 months before applying for a provisional license. Requires an adult of at least 21 years of age to be in the front passenger seat of the vehicle at all times while the minor is driving.,in texas what age can a person get a hardship license?
265,"According to USLegal, a civil judgment is the final decision made by a court in a civil matter. Civil judgments can reward or deny the plaintiff civil remedies, like monetary damages or injunctions....",what do judgement mean
266,"Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience."" A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage. During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense. In countries such as the United States whose laws guarantee the right to a jury trial but do not excuse lawbreaking for political purposes, some civil disobedients seek jury nullification. Over the years, this has been made more difficult by court decisions such as Sparf v. United States, which held that the judge need not inform jurors of their nullification prerogative, and United States v. Dougherty, which held that the judge need not allow defendants to openly seek jury nullification.",What US war has a large amount of Civil Disobedients?
267,"Brockmeyer v. Dun & Bradstreet 113 Wis. 2d 561 (Wis. 1983), was a case in which the Wisconsin Supreme Court first identified that Wisconsin has some judicial exceptions to the employment at will doctrine.

Miller v. California, 413 U.S. 15 (1973) is a landmark decision by the United States Supreme Court wherein the court redefined its definition of obscenity from that of ""utterly without socially redeeming value"" to that which lacks ""serious literary, artistic, political, or scientific value."" It is now referred to as the three-prong standard or the Miller test, with the third prong being informally known by the initialism and mnemonic device ""SLAPS"" or the term ""SLAPS test.""

Gates v. Collier, 501 F.2d 1291 (5th Cir. 1974), was a landmark case decided in U.S. federal court that brought an end to the Trusty system and the flagrant inmate abuse that accompanied it at Mississippi State Penitentiary (Parchman) in Sunflower County, Mississippi. It was the first case in a body of law developed in the Fifth Circuit Court of Appeals holding that a variety of forms of corporal punishment against prisoners constituted cruel and unusual punishment and a violation of Eighth Amendment rights. This case was also the first broad-scale intervention by a court in the supervision of prison practices.",Which case was brought to court first Miller v. California or Gates v. Collier ?
268,"Get the education you need: Find schools for Lawyers near you! Lawyers must have a law degree and must also typically pass a state's written bar examination. Education for Lawyers. Becoming a lawyer usually takes 7 years of full-time study after high school—4 years of undergraduate study, followed by 3 years of law school. Most states and jurisdictions require lawyers to complete a Juris Doctor (J.D.) degree from a law school accredited by the American Bar Association (ABA).",what training could help you become a lawyer
269,"Sometimes the prosecution proposes a plea bargain to civil disobedients, as in the case of the Camden 28, in which the defendants were offered an opportunity to plead guilty to one misdemeanor count and receive no jail time. In some mass arrest situations, the activists decide to use solidarity tactics to secure the same plea bargain for everyone. But some activists have opted to enter a blind plea, pleading guilty without any plea agreement in place. Mohandas Gandhi pleaded guilty and told the court, ""I am here to . . . submit cheerfully to the highest penalty that can be inflicted upon me for what in law is a deliberate crime and what appears to me to be the highest duty of a citizen.""",What did Ghandi decide to use so that everyone would have the same deal?
270,"To make new legislation, TFEU article 294 defines the ""ordinary legislative procedure"" that applies for most EU acts. The essence is there are three readings, starting with a Commission proposal, where the Parliament must vote by a majority of all MEPs (not just those present) to block or suggest changes, and the Council must vote by qualified majority to approve changes, but by unanimity to block Commission amendment. Where the different institutions cannot agree at any stage, a ""Conciliation Committee"" is convened, representing MEPs, ministers and the Commission to try and get agreement on a joint text: if this works, it will be sent back to the Parliament and Council to approve by absolute and qualified majority. This means, legislation can be blocked by a majority in Parliament, a minority in the Council, and a majority in the Commission: it is harder to change EU law than stay the same. A different procedure exists for budgets. For ""enhanced cooperation"" among a sub-set of at least member states, authorisation must be given by the Council. Member state governments should be informed by the Commission at the outset before any proposals start the legislative procedure. The EU as a whole can only act within its power set out in the Treaties. TEU articles 4 and 5 state that powers remain with the member states unless they have been conferred, although there is a debate about the Kompetenz-Kompetenz question: who ultimately has the ""competence"" to define the EU's ""competence"". Many member state courts believe they decide, other member state Parliaments believe they decide, while within the EU, the Court of Justice believes it has the final say.","What articles state that unless conferred, powers remain with member states?"
271,"In the autumn of 1991, talks were held for the broadcast rights for Premier League for a five-year period, from the 1992 season. ITV were the current rights holders, and fought hard to retain the new rights. ITV had increased its offer from £18m to £34m per year to keep control of the rights. BSkyB joined forces with the BBC to make a counter bid. The BBC was given the highlights of most of the matches, while BSkyB paying £304m for the Premier League rights, would give them a monopoly of all live matches, up to 60 per year from the 1992 season.  Murdoch described sport as a ""battering ram"" for pay-television, providing a strong customer base. A few weeks after the deal, ITV went to the High Court to get an injunction as it believed their bid details had been leaked before the decision was taken. ITV also asked the Office of Fair Trading to investigate since it believed Rupert Murdoch's media empire via its newspapers had influenced the deal. A few days later neither action took effect, ITV believed BSkyB was telephoned and informed of its £262m bid, and Premier League advised BSkyB to increase its counter bid.",Who were never rights holders for the Premier League?
272,"The Social Chapter is a chapter of the 1997 Treaty of Amsterdam covering social policy issues in European Union law. The basis for the Social Chapter was developed in 1989 by the ""social partners"" representatives, namely UNICE, the employers' confederation, the European Trade Union Confederation (ETUC) and CEEP, the European Centre of Public Enterprises. A toned down version was adopted as the Social Charter at the 1989 Strasbourg European Council. The Social Charter declares 30 general principles, including on fair remuneration of employment, health and safety at work, rights of disabled and elderly, the rights of workers, on vocational training and improvements of living conditions. The Social Charter became the basis for European Community legislation on these issues in 40 pieces of legislation.",The Social Chapter is a chapter of what treaty?
273,"And for those in the industry who apply for registration of words or a slogan they've used regularly, they seemingly jump through minimal hurdles to get their mark registered with the U.S. Patent and Trademark Office. So use of a particular mark is playing an ever increasing role in the legitimacy and ownership of a mark. Common Misconception",how to patent slogans
274,"While the concept of a ""social market economy"" was only introduced into EU law in 2007, free movement and trade were central to European development since the Treaty of Rome 1957. According to the standard theory of comparative advantage, two countries can both benefit from trade even if one of them has a less productive economy in all respects. Like in other regional organisations such as the North American Free Trade Association, or the World Trade Organisation, breaking down barriers to trade, and enhancing free movement of goods, services, labour and capital, is meant to reduce consumer prices. It was originally theorised that a free trade area had a tendency to give way to a customs union, which led to a common market, then monetary union, then union of monetary and fiscal policy, political and eventually a full union characteristic of a federal state. In Europe, however, those stages were considerably mixed, and it remains unclear whether the ""endgame"" should be the same as a state, traditionally understood. In practice free trade, without standards to ensure fair trade, can benefit some people and groups within countries (particularly big business) much more than others, but will burden people who lack bargaining power in an expanding market, particularly workers, consumers, small business, developing industries, and communities. The Treaty on the Functioning of the European Union articles 28 to 37 establish the principle of free movement of goods in the EU, while articles 45 to 66 require free movement of persons, services and capital. These so-called ""four freedoms"" were thought to be inhibited by physical barriers (e.g. customs), technical barriers (e.g. differing laws on safety, consumer or environmental standards) and fiscal barriers (e.g. different Value Added Tax rates). The tension in the law is that the free movement and trade is not supposed to spill over into a licence for unrestricted commercial profit. The Treaties limit free trade, to prioritise other values such as public health, consumer protection, labour rights, fair competition, and environmental improvement. Increasingly the Court of Justice has taken the view that the specific goals of free trade are underpinned by the general aims of the treaty for improvement of people's well being.",What was not introduced into EU law in 2007?
275,"Subject/Law                                    Long guns  Handguns  Relevant statutes      Notes
State permit to purchase?                      No         No
Firearm registration?                          No         No        (18 Pa.C.S. § 6111.4)  All handgun buyers in the state must undergo a PICS check at the point of sale, a record of which is maintained by the state police in a ""sales database"". The Pennsylvania Supreme Court has ruled that this is legal under 18 Pa.C.S. § 6111.4, as it is not a comprehensive record of all handgun ownership within the state, as gun owners moving into the state are not required to register their firearms.
Assault weapon law?                            No         No
Owner license required?                        No         No
Concealed carry permit required?               Yes        Yes       18 Pa.C.S. § 6109      License to Carry Firearms issued on a ""shall-issue"" basis. A LTCF is required to carry a firearm concealed on one's person, in a vehicle, or during a declared state of emergency.
Open carry?                                    Yes        Yes                              Unlicensed open-carry, except license required in Philadelphia (City of the First Class) and when within a vehicle.
Castle Law/Stand Your Ground?                  Yes        Yes                           Castle Law. No duty to retreat inside castle. No duty to retreat outside castle if confronted with a deadly weapon or an object that appears to be one in a place where the person has a right to be.
State preemption of local restrictions?        Yes        Yes       18 Pa.C.S. § 6120
NFA weapons restricted?                        No         No
Peaceable Journey laws?                        Yes        Yes                           Non-residents may carry in a vehicle if in possession of a valid carry permit from any state. Otherwise, federal rules observed.
Background checks required for private sales?  No         Yes                              All private party transfers of handguns must be processed through a licensed dealer, or at a county sheriff's office. In either case a background check is required.",do you need a gun license in pennsylvania
276,"Louis XIV gained the throne in 1643 and acted increasingly aggressively to force the Huguenots to convert. At first he sent missionaries, backed by a fund to financially reward converts to Catholicism. Then he imposed penalties, closed Huguenot schools and excluded them from favored professions. Escalating, he instituted dragonnades, which included the occupation and looting of Huguenot homes by military troops, in an effort to forcibly convert them. In 1685, he issued the Edict of Fontainebleau, revoking the Edict of Nantes and declaring Protestantism illegal.[citation needed]",The practice of occupying and looting Huguenot homes was called?
277,"To change a person's name on the title, as in the case of a marriage, the person would quit claim the property with his or her old name as the grantor and the new name as the grantee.",how to change name on property deed
278,"The concept of legal certainty is recognised one of the general principles of European Union law by the European Court of Justice since the 1960s. It is an important general principle of international law and public law, which predates European Union law. As a general principle in European Union law it means that the law must be certain, in that it is clear and precise, and its legal implications foreseeable, specially when applied to financial obligations. The adoption of laws which will have legal effect in the European Union must have a proper legal basis. Legislation in member states which implements European Union law must be worded so that it is clearly understandable by those who are subject to the law. In European Union law the general principle of legal certainty prohibits Ex post facto laws, i.e. laws should not take effect before they are published. The doctrine of legitimate expectation, which has its roots in the principles of legal certainty and good faith, is also a central element of the general principle of legal certainty in European Union law. The legitimate expectation doctrine holds that and that ""those who act in good faith on the basis of law as it is or seems to be should not be frustrated in their expectations"".",In what does the doctrine of legitimate expectations have roots?
279,"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling. The other industrialized nations followed suit with their respective currencies. Anticipating that currency values would fluctuate unpredictably for a time, the industrialized nations increased their reserves (by expanding their money supplies) in amounts far greater than before. The result was a depreciation of the dollar and other industrialized nations' currencies. Because oil was priced in dollars, oil producers' real income decreased. In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold.",When did OPEC  issue a joint communique?
280,"Quick Answer. Appellate jurisdiction refers to a higher court's power to review, revise, overturn or affirm decisions made by lower courts, according to USLegal. Most of the time, appellate courts simply review cases to ensure no errors were made.",courts of appellate jurisdiction definition
281,"The principles of European Union law are rules of law which have been developed by the European Court of Justice that constitute unwritten rules which are not expressly provided for in the treaties but which affect how European Union law is interpreted and applies. In formulating these principles, the courts have drawn on a variety of sources, including: public international law and legal doctrines and principles present in the legal systems of European Union member states and in the jurisprudence of the European Court of Human Rights. Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.",Which entity did not develop the principles of European Union law?
282,"In 1271, Kublai Khan imposed the name Great Yuan (Chinese: 大元; pinyin: Dà Yuán; Wade–Giles: Ta-Yüan), establishing the Yuan dynasty. ""Dà Yuán"" (大元) is from the sentence ""大哉乾元"" (dà zai Qián Yuán / ""Great is Qián, the Primal"") in the Commentaries on the Classic of Changes (I Ching) section regarding Qián (乾). The counterpart in Mongolian language was Dai Ön Ulus, also rendered as Ikh Yuan Üls or Yekhe Yuan Ulus. In Mongolian, Dai Ön (Great Yuan) is often used in conjunction with the ""Yeke Mongghul Ulus"" (lit. ""Great Mongol State""), resulting in Dai Ön Yeke Mongghul Ulus (Mongolian script: ), meaning ""Great Yuan Great Mongol State"". The Yuan dynasty is also known as the ""Mongol dynasty"" or ""Mongol Dynasty of China"", similar to the names ""Manchu dynasty"" or ""Manchu Dynasty of China"" for the Qing dynasty. Furthermore, the Yuan is sometimes known as the ""Empire of the Great Khan"" or ""Khanate of the Great Khan"", which particularly appeared on some Yuan maps, since Yuan emperors held the nominal title of Great Khan. Nevertheless, both terms can also refer to the khanate within the Mongol Empire directly ruled by Great Khans before the actual establishment of the Yuan dynasty by Kublai Khan in 1271.",What nominal title did Yuan emperors reject?
283,"Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience."" A technical defense may enhance the chances for acquittal but make for more boring proceedings and reduced press coverage. During the Vietnam War era, the Chicago Eight used a political defense, while Benjamin Spock used a technical defense. In countries such as the United States whose laws guarantee the right to a jury trial but do not excuse lawbreaking for political purposes, some civil disobedients seek jury nullification. Over the years, this has been made more difficult by court decisions such as Sparf v. United States, which held that the judge need not inform jurors of their nullification prerogative, and United States v. Dougherty, which held that the judge need not allow defendants to openly seek jury nullification.",What defense was used by Steven Barkan?
284,"Today, the Treaty of Lisbon prohibits anti-competitive agreements in Article 101(1), including price fixing. According to Article 101(2) any such agreements are automatically void. Article 101(3) establishes exemptions, if the collusion is for distributional or technological innovation, gives consumers a ""fair share"" of the benefit and does not include unreasonable restraints that risk eliminating competition anywhere (or compliant with the general principle of European Union law of proportionality). Article 102 prohibits the abuse of dominant position, such as price discrimination and exclusive dealing. Article 102 allows the European Council to regulations to govern mergers between firms (the current regulation is the Regulation 139/2004/EC). The general test is whether a concentration (i.e. merger or acquisition) with a community dimension (i.e. affects a number of EU member states) might significantly impede effective competition. Articles 106 and 107 provide that member state's right to deliver public services may not be obstructed, but that otherwise public enterprises must adhere to the same competition principles as companies. Article 107 lays down a general rule that the state may not aid or subsidise private parties in distortion of free competition and provides exemptions for charities, regional development objectives and in the event of a natural disaster.",What does Article 102 not prohibit?
285,"A person may work for a business and not be an employee. In this case, the person is considered to be an independent contractor in relation to the other party, and he or she is self-employed. That is, the relationship between the two parties is between two businesses, one of which is providing a service to the other.",what is irs definition of independent contractor
